x1,y1, z1, x2,y2,z2
-105.399, 52.2799, 154.089, 58.0482, -99.0931, 54.0841
-103.303, 53.1966, 154.632, 59.4628, -99.564, 54.4168
-101.201, 54.1097, 155.171, 60.8736, -100.029, 54.7522
-99.0912, 55.019, 155.706, 62.2806, -100.487, 55.0906
-96.9749, 55.9246, 156.238, 63.6837, -100.939, 55.4318
-94.852, 56.8265, 156.765, 65.0826, -101.385, 55.7758
-92.7229, 57.7246, 157.289, 66.4773, -101.823, 56.1227
-90.5876, 58.6188, 157.81, 67.8678, -102.256, 56.4725
-88.4464, 59.5092, 158.326, 69.2537, -102.681, 56.8251
-86.2994, 60.3958, 158.839, 70.6351, -103.1, 57.1806
-84.1469, 61.2784, 159.348, 72.0118, -103.512, 57.5389
-81.9889, 62.1571, 159.853, 73.3837, -103.917, 57.9001
-79.8257, 63.0318, 160.354, 74.7506, -104.315, 58.2641
-77.6574, 63.9026, 160.851, 76.1125, -104.706, 58.6309
-75.4843, 64.7693, 161.345, 77.4691, -105.09, 59.0006
-73.3064, 65.6319, 161.834, 78.8204, -105.466, 59.3731
-71.124, 66.4905, 162.32, 80.1662, -105.836, 59.7484
-68.9372, 67.345, 162.802, 81.5064, -106.197, 60.1265
-66.7461, 68.1953, 163.28, 82.8409, -106.552, 60.5075
-64.5509, 69.0414, 163.755, 84.1695, -106.899, 60.8912
-62.3518, 69.8833, 164.225, 85.4921, -107.238, 61.2778
-60.1489, 70.721, 164.691, 86.8085, -107.569, 61.6671
-57.9423, 71.5543, 165.154, 88.1187, -107.893, 62.0591
-55.7323, 72.3834, 165.613, 89.4225, -108.209, 62.454
-53.5189, 73.2081, 166.067, 90.7197, -108.517, 62.8516
-51.3022, 74.0284, 166.518, 92.0103, -108.816, 63.2519
-49.0825, 74.8443, 166.965, 93.294, -109.108, 63.655
-46.8599, 75.6556, 167.407, 94.5707, -109.392, 64.0607
-44.6345, 76.4625, 167.846, 95.8404, -109.667, 64.4692
-42.4064, 77.2648, 168.281, 97.1028, -109.935, 64.8804
-40.1757, 78.0625, 168.711, 98.3578, -110.193, 65.2942
-37.9427, 78.8555, 169.138, 99.6053, -110.444, 65.7107
-35.7074, 79.6438, 169.56, 100.845, -110.686, 66.1298
-33.47, 80.4274, 169.978, 102.077, -110.919, 66.5515
-31.2306, 81.2062, 170.392, 103.301, -111.144, 66.9759
-28.9893, 81.98, 170.802, 104.517, -111.36, 67.4028
-26.7462, 82.749, 171.207, 105.725, -111.567, 67.8323
-24.5016, 83.513, 171.608, 106.924, -111.765, 68.2643
-22.2554, 84.2719, 172.005, 108.115, -111.955, 68.6989
-20.008, 85.0258, 172.398, 109.297, -112.135, 69.136
-17.7593, 85.7745, 172.786, 110.471, -112.307, 69.5756
-15.5095, 86.5179, 173.17, 111.635, -112.469, 70.0176
-13.2588, 87.2561, 173.549, 112.791, -112.622, 70.4621
-11.0072, 87.9888, 173.924, 113.937, -112.766, 70.909
-8.75503, 88.7162, 174.294, 115.073, -112.901, 71.3582
-6.50227, 89.438, 174.659, 116.201, -113.026, 71.8099
-4.24909, 90.1543, 175.02, 117.318, -113.142, 72.2639
